Date,Open,High,Low,Close,Adj Close,Volume
2022-09-14,3.680000,3.810000,3.670000,3.770000,3.770000,22300
2022-09-15,3.740000,3.890000,3.730000,3.780000,3.780000,27300
2022-09-16,3.770000,3.840000,3.470000,3.510000,3.510000,83200
2022-09-19,3.420000,3.640000,3.420000,3.610000,3.610000,24000
2022-09-20,3.620000,3.840000,3.490000,3.780000,3.780000,138100
2022-09-21,3.740000,3.840000,3.720000,3.740000,3.740000,23400
2022-09-22,3.740000,3.740000,3.470000,3.600000,3.600000,40500
2022-09-23,3.530000,3.630000,3.530000,3.540000,3.540000,28800
2022-09-26,3.550000,3.600000,3.520000,3.600000,3.600000,21900
2022-09-27,3.540000,3.820000,3.540000,3.750000,3.750000,28500
2022-09-28,3.770000,3.970000,3.740000,3.920000,3.920000,42400
2022-09-29,3.870000,4.100000,3.800000,3.980000,3.980000,506100
2022-09-30,3.750000,4.010000,3.640000,3.930000,3.930000,52200
2022-10-03,3.960000,4.180000,3.900000,4.140000,4.140000,81000
2022-10-04,4.190000,4.200000,4.000000,4.030000,4.030000,56100
2022-10-05,4.000000,4.200000,4.000000,4.130000,4.130000,42200
2022-10-06,4.060000,4.140000,4.050000,4.050000,4.050000,32100
2022-10-07,4.050000,4.060000,3.760000,3.880000,3.880000,39600
2022-10-10,3.560000,3.990000,3.560000,3.920000,3.920000,52800
2022-10-11,3.950000,4.120000,3.860000,4.010000,4.010000,58400
2022-10-12,4.010000,4.090000,3.990000,4.050000,4.050000,34800
2022-10-13,3.960000,4.160000,3.870000,3.960000,3.960000,37200
2022-10-14,5.000000,5.250000,3.540000,3.700000,3.700000,2932500
2022-10-17,3.680000,3.880000,3.640000,3.700000,3.700000,87000
2022-10-18,3.780000,3.830000,3.590000,3.670000,3.670000,88200
2022-10-19,3.660000,3.700000,3.510000,3.580000,3.580000,49000
2022-10-20,3.560000,3.650000,3.150000,3.300000,3.300000,87700
2022-10-21,3.300000,3.300000,3.090000,3.130000,3.130000,40400
2022-10-24,3.100000,3.100000,2.970000,2.980000,2.980000,51500
2022-10-25,2.950000,3.040000,2.930000,2.980000,2.980000,35900
2022-10-26,2.950000,3.270000,2.950000,3.230000,3.230000,47600
2022-10-27,3.260000,3.260000,3.140000,3.210000,3.210000,12300
2022-10-28,3.190000,3.260000,3.070000,3.190000,3.190000,14600
2022-10-31,3.180000,3.360000,3.150000,3.290000,3.290000,40200
2022-11-01,3.300000,3.470000,3.260000,3.400000,3.400000,15500
2022-11-02,3.380000,3.480000,3.250000,3.250000,3.250000,23600
2022-11-03,3.220000,3.300000,3.190000,3.230000,3.230000,19900
2022-11-04,3.250000,3.250000,3.030000,3.090000,3.090000,18200
2022-11-07,3.040000,3.230000,3.040000,3.230000,3.230000,14600
2022-11-08,3.190000,3.210000,3.070000,3.130000,3.130000,5500
2022-11-09,3.090000,3.190000,3.030000,3.040000,3.040000,14700
2022-11-10,3.080000,3.180000,3.080000,3.100000,3.100000,11800
2022-11-11,3.150000,3.260000,3.150000,3.210000,3.210000,18800
2022-11-14,3.140000,3.300000,3.140000,3.210000,3.210000,19800
2022-11-15,3.190000,3.350000,3.180000,3.320000,3.320000,28000
2022-11-16,3.350000,3.590000,3.280000,3.550000,3.550000,30500
2022-11-17,3.500000,3.750000,3.430000,3.740000,3.740000,29300
2022-11-18,3.780000,3.800000,3.670000,3.670000,3.670000,24900
2022-11-21,3.650000,3.990000,3.590000,3.960000,3.960000,56800
2022-11-22,3.960000,4.100000,3.920000,4.050000,4.050000,52600
2022-11-23,4.050000,4.100000,3.830000,4.070000,4.070000,23100
2022-11-25,4.060000,4.170000,4.020000,4.170000,4.170000,21100
2022-11-28,4.150000,4.150000,3.970000,4.000000,4.000000,14900
2022-11-29,3.920000,3.990000,3.630000,3.630000,3.630000,18600
2022-11-30,3.510000,3.610000,3.380000,3.480000,3.480000,41400
2022-12-01,3.450000,3.740000,3.450000,3.700000,3.700000,29800
2022-12-02,3.730000,4.040000,3.580000,3.770000,3.770000,34300
2022-12-05,3.820000,3.930000,3.750000,3.810000,3.810000,19000
2022-12-06,3.800000,3.990000,3.760000,3.810000,3.810000,22400
2022-12-07,3.750000,3.850000,3.680000,3.740000,3.740000,18000
2022-12-08,3.820000,4.000000,3.800000,3.850000,3.850000,51600
2022-12-09,3.930000,3.930000,3.850000,3.880000,3.880000,7800
2022-12-12,3.870000,3.880000,3.790000,3.870000,3.870000,19300
2022-12-13,3.810000,3.880000,3.650000,3.740000,3.740000,22500
2022-12-14,3.850000,3.850000,3.570000,3.600000,3.600000,18500
2022-12-15,3.600000,3.740000,3.520000,3.520000,3.520000,21900
2022-12-16,3.560000,3.590000,3.480000,3.490000,3.490000,18500
2022-12-19,3.520000,3.600000,3.470000,3.510000,3.510000,27600
2022-12-20,3.500000,3.610000,3.500000,3.560000,3.560000,10700
2022-12-21,3.570000,3.640000,3.550000,3.590000,3.590000,49000
2022-12-22,3.550000,3.740000,3.550000,3.680000,3.680000,19400
2022-12-23,3.680000,3.750000,3.620000,3.710000,3.710000,9400
